업체명,채널,지역,희망공급제품,예상월물량kg,담당자,직책,전화,이메일,웹사이트,상태,우선순위,최근접촉일,다음액션,메모
㈜대전노은진영수산,공영도매시장 중도매인,대전 유성구(노은농수산물도매시장),냉동필렛,,,,042-824-1110,,http://jinyoungsusan.co.kr,후보,상,,,장어취급: 수산부류 상장 경매 운영 / 후보이유: 민물장어 경매가 서는 노은시장의 수산부류 경매 법인 — 중도매인 소개·출하 협의 공식 창구 / 비고: 노은 수산물도매시장 블라인드 경매 시범 도입(부정거래 방지). 노은시장 관리사업소 042-270-7932
안산농수산물도매시장 관리사무소(안산시),공영도매시장 중도매인,경기 안산시 상록구,냉동필렛,,,,031-481-2771,,https://www.ansan.go.kr/market/main/main.do,후보,중,,,장어취급: 직접 취급 없음(시장 관리 주체) / 후보이유: 수산부류 중도매인 현황과 연락 창구를 공식 안내받을 수 있는 관리 주체 / 비고: 수산 영업시간 04:00~17:00
안양시 농수산물도매시장관리사업소,공영도매시장 중도매인,경기 안양시 동안구(평촌동),냉동필렛,,,,031-8045-2631,,https://market.anyang.go.kr,후보,중,,,장어취급: 직접 취급 없음(시장 관리 주체) / 후보이유: 수산동 중도매인 조직·연락처를 공식 확인할 수 있는 관리 주체
대전광역시 오정농수산물도매시장 관리사업소,공영도매시장 중도매인,대전 대덕구 한밭대로 987(오정동),냉동필렛,,,,042-622-3387,,https://www.daejeon.go.kr/ohj/index.do,후보,중,,,장어취급: 직접 취급 없음(시장 관리 주체) / 후보이유: 수산부류 중도매인 명부·공식 창구 안내가 가능한 관리 주체
대전광역시 노은농수산물도매시장 관리사업소,공영도매시장 중도매인,대전 유성구 노은동,냉동필렛,,,,042-270-7932,,https://www.daejeon.go.kr/noe/index.do,후보,중,,,장어취급: 직접 취급 없음(시장 관리 주체) / 후보이유: 수산부류 중도매인 현황·이용 안내를 제공하는 공식 관리 주체
명륜당(명륜진사갈비),장어 전문점·외식 프랜차이즈,"서울 송파구(중대로12길 6, 가락동)",냉동필렛·가바야키,,,,1566-3894,,https://www.xn--w39at6wpzax3i7sdctt.kr/,후보,상,,,"장어취급: 2025년 7월 여름 보양 신메뉴 '숯불양념장어' 무한리필 출시(장어덮밥 조합 가능), 양념 초벌 장어 형태로 매장 공급, 커뮤니티·리뷰 기준 수입산 민물장어 사용 / 후보이유: 수입산 양념장어를 이미 전국 매장 무한리필로 운영하는 최대 물량처로, 냉동 필렛·양념구이(가바야키) 대량 공급과 가장 직접적으로 맞는 타깃 / 비고: 2025년 매각 추진·가격 인상 보도 있음. 장어 메뉴 운영 지점 순차 확대 중이라 본사 구매팀 단일 창구 공략 가능"
노천푸드(주)(노천민물장어),장어 전문점·외식 프랜차이즈,"경기 안성(물류센터), 본점 충남 천안",냉동필렛·가바야키,,,,1688-5298,,https://www.nocheoneel.com,후보,상,,,"장어취급: 민물장어 무한리필(소고기·돼지고기 등 병행), 원산지 공개 정보 미확인 / 후보이유: 무한리필 가성비 모델 특성상 장어 원가 민감도가 극도로 높아 도착가 18,000원/kg대 중국산 냉동 필렛의 대체 제안이 유효, 자체 물류센터 보유로 B2B 정기 납품 구조에 적합 / 비고: 3년 무폐점 강조하며 가맹 확장 중(2025년 10월 남양·율량점 오픈 예정). 원산지 표기 현황은 본사 확인 필요"
주식회사 양산도,장어 전문점·외식 프랜차이즈,서울 송파구(수도권사업부)·부산 부산진구(영남권사업부),냉동필렛·가바야키,,,,1522-6671,ytk2826@naver.com,https://yangsando.com,후보,상,,,"장어취급: 민물장어덮밥·장어구이 중심 덮밥 전문(표준창업비용 약 1억1천만원대), 원산지 공개 정보 미확인 / 후보이유: 과업이 지목한 '덮밥·가성비 컨셉'의 대표 성장 브랜드로, 필렛·양념구이 표준화 공급이 덮밥 오퍼레이션과 부합하고 확장기라 신규 공급사 협상 여지가 큼 / 비고: 공정위 가맹사업 정보공개서 등록 확인(창업비용 공개). 대표 김대원. ※기존 거래처 '양산도'와 동일 여부 사내 확인 필요"
나이브에프앤비(주)(일익스프레스 EEL EXPRESS),장어 전문점·외식 프랜차이즈,,냉동필렛·가바야키,,,,,,https://eelexpress.com,후보,중,,,"장어취급: 장어덮밥 전문, 본사가 초벌 장어를 공급하고 매장은 타레 재벌 후 제공하는 표준화 모델, 원산지 공개 정보 미확인 / 후보이유: '합리적 가격의 캐주얼 장어덮밥'을 표방하는 가성비 포지션이며 본사 일괄 초벌 공급 구조라 냉동 필렛·양념구이 OEM성 납품에 최적 / 비고: 운영법인 나이브에프앤비(주)는 장어 공급사(진해물산) 거래처 페이지에서 확인. 본사 소재지·대표번호는 공개 확인 불가로 공란"
(주)에스엘비비(송림복장어),장어 전문점·외식 프랜차이즈,,냉동필렛·가바야키,,,,,,https://xn--4y2b02dq8ej1e8yc.com/,후보,중,,,"장어취급: 민물장어 무한리필(삼겹살·오리목살 병행), 현재 국내산 자포니카 사용 표방 / 후보이유: 무한리필 확장형 체인으로 국산 활장어가(19,000원/kg) 대비 원가 부담이 커, 격차 축소 국면에서 중국산 필렛 병행·전환 제안 여지가 있음 / 비고: 현재 국내산 표방이라 즉시 전환 저항 가능. 공식 사이트 공개 연락처가 휴대폰 번호뿐이라 전화 공란(사업자 136-88-03342)"
(주)초가네에프엔씨(초가네장어구이),장어 전문점·외식 프랜차이즈,"전남 여수시(소호1길 38, 306-2호)",냉동필렛·가바야키,,,,1668-0944,,https://choganefnc.com,후보,하,,,장어취급: 자연산 바다장어(붕장어) 구이 전문 — 민물장어(뱀장어) 미사용 / 후보이유: 가성비 장어구이 체인이라 접점은 있으나 주력 어종이 바다장어(붕장어)로 강해무역 품목(민물장어 필렛)과 불일치 — 민물장어 메뉴 신설 제안 시에만 유효 / 비고: 품목 불일치(붕장어)로 후순위. 대표 천두원
청해수산영어조합법인(장어의꿈),장어 전문점·외식 프랜차이즈,"경기 남양주시(순화궁로 492-6, 별내동)",냉동필렛·가바야키,,,,,,https://cheonghae.co.kr,후보,하,,,"장어취급: 100% 국내산 자포니카 활장어 손질·구이, 국산 원산지를 브랜드 정체성으로 전면에 내세움 / 후보이유: 장어 사용량 자체는 크지만 '국내산 100%'가 핵심 정체성이라 중국산 필렛 도입 가능성이 낮음 — 시장 파악용 참고 후보 / 비고: 과업 기준상 국산 활장어 정체성 브랜드로 사실상 제외 대상. 직원 18명 규모"
쿠우쿠우(QooQoo),호텔·뷔페·일식 체인,경기 성남시 수정구(수정로 138 쿠우쿠우빌딩 5층),가바야키(초밥용 슬라이스)·냉동필렛,,,,1577-4841,qooqoo3609@qooqoo.co.kr,https://www.qooqoo.co.kr,후보,상,,,"장어취급: 장어초밥 상시 메뉴 운영 — 초밥용 양념장어(조각 6g 내외 가바야키 슬라이스) 형태 사용, 쿠우쿠우향 업소용 양념장어가 수산몰에서 별도 유통될 정도로 물량 큼 / 후보이유: 가성비 뷔페 포지션 + 전국 체인 + 초밥용 양념장어 대량 소진 구조로 중국산 양념구이(가바야키) 슬라이스 공급과 정확히 일치 / 비고: 본사 일괄 식자재 공급 체계. 이메일은 공식 홈페이지 공개 문의 메일"
(주)올바른에프앤비(미카도스시),호텔·뷔페·일식 체인,"서울 송파구(법원로 114, B동 412호)",가바야키(초밥용 슬라이스)·냉동필렛,,,,,,https://mikadosushi.kr,후보,상,,,"장어취급: 장어초밥 메뉴 운영(회전초밥 라인), 원산지 공개 정보 미확인 / 후보이유: 가맹 79개점의 중저가 회전초밥 체인으로 초밥용 장어 토핑을 본사 물류로 일괄 공급하는 구조 — 수입 냉동 가바야키 슬라이스 제안에 적합 / 비고: 가맹 확장 활발(초밥집 창업 사이트 별도 운영 mikadosushi.co.kr)"
LF푸드(모노마트·모노링크),호텔·뷔페·일식 체인,서울 강남구(언주로 874),가바야키(초밥용 슬라이스)·냉동필렛,,,,,,https://www.lffood.co.kr,후보,상,,,"장어취급: 사시미용·냉동 어류, 일식 반조리 식품 등 일식당 대상 B2B 유통(장어 가바야키 품목 취급 여부는 공개 자료로 미확인) / 후보이유: 일식 체인·이자카야 시장의 최대 식자재 관문으로, 직접 벤더 등록 시 개별 일식당 수천 곳에 간접 판로 확보 가능 — 장어덮밥·초밥용 수요를 한 번에 커버 / 비고: 모기업 LF 대표전화 02-3441-8114. 하코야몰(가정간편식몰) 병행 운영"
토다이코리아(토다이 뷔페),호텔·뷔페·일식 체인,서울(명동·목동·반포 등 매장),가바야키(초밥용 슬라이스)·냉동필렛,,,,,,https://www.todai.co.kr,후보,중,,,장어취급: 스시·롤 중심 씨푸드 뷔페로 초밥 라인 운영(장어초밥 등 세부 메뉴 원산지 공개 정보 미확인) / 후보이유: 씨푸드 뷔페 특성상 초밥용 가공 장어 수요가 있고 뷔페 원가 구조상 수입산 채택 유인이 큼 / 비고: 운영 주체가 토다이코리아→원당F&D 가맹 체제로 변동 이력 있어 구매 창구 확인 필요
스시메이진,호텔·뷔페·일식 체인,,가바야키(초밥용 슬라이스)·냉동필렛,,,,,,https://smjr.modoo.at/,후보,중,,,장어취급: 초밥·일식 뷔페 메뉴 운영(장어초밥 취급 여부·원산지는 공개 자료로 미확인) / 후보이유: 2만원대 초밥뷔페 포지션이라 초밥용 수입 가공 장어 수요 개연성이 높고 가맹 확장 중인 체인 / 비고: 가맹본부 법인명·본사 소재지 공개 확인 불가로 공란. 창업도 플랫폼에 창업정보 등재
갓덴스시(일본 RDC그룹),호텔·뷔페·일식 체인,서울(강남·신사·종로·은평 등 매장),가바야키(초밥용 슬라이스)·냉동필렛,,,,,,,후보,하,,,"장어취급: 회전초밥 라인에 붕장어(아나고) 한마리 초밥 시그니처, 장어계란말이 등 장어류 메뉴 상시 운영 / 후보이유: 장어류 메뉴를 상시 운영하는 회전초밥 체인이나 일본계 직영 체제로 본사(일본) 소싱 표준이 강해 국내 벤더 진입 장벽이 높고, 시그니처가 붕장어라 품목 일치도도 낮음 / 비고: 한국 운영법인명·대표번호 공개 확인 불가로 공란"
삼성웰스토리(주),급식·케이터링 대기업,"경기 성남시 분당구 구미로 8(구미동, 엠타워)",냉동필렛,,,,1544-8272,,https://www.samsungwelstory.com | 협력사 등록: https://srm.welstory.com,후보,상,,,후보이유: 급식+식자재유통 겸영 최대 수요처. SRM 협력회사 지원시스템에서 신규 가입 신청→공급 품목군 선택·자가평가(Auto Screening)→담당 MD 검토 후 연락하는 공개 등록 절차 보유 / 비고: 타깃은 식자재유통사업부(수산 품목군 MD). SRM 가입 시 수산 품목군으로 제안. 홈페이지 고객센터 '식자재 공급 문의' 채널 병행 가능
(주)아워홈,급식·케이터링 대기업,서울 강서구 마곡중앙10로 91(아워홈 마곡 본사),냉동필렛,,,,080-234-7575,,https://www.ourhome.co.kr | 구매포털(eOPS 2.0): https://sp2.ourhome.co.kr/contents/new_vd_intro.jsp | 식자재 포탈: https://tfs.ourhome.co.kr,후보,상,,,"장어취급: 2026년 초복 맞이 전국 복지관 등에서 장어덮밥·찹쌀삼계탕·전복반계탕 등 보양식 약 2,500명분 제공(소속 셰프 참여) / 후보이유: 복날 장어 메뉴 실적이 확인된 급식 대기업. eOPS 2.0 구매포털로 신규거래처 등록 절차 공개, 시스템 문의 02-6966-9197/9194 / 비고: 급식과 별도로 식재유통 사업(아워홈TFS)이 식자재 공급 타깃. 신규거래는 eOPS 구매카드 등록 절차 필요"
CJ프레시웨이(주),급식·케이터링 대기업,"서울 마포구 월드컵북로54길 25 S-city(상암동, 등기본점 경기 용인)",냉동필렛,,,,02-2149-6114,,https://www.cjfreshway.com | 상품 제안·상담: https://m.cjfreshway.com/contact/index.jsp,후보,상,,,"후보이유: 중소 협력사에 전국 외식·급식 B2B 판로를 제공하는 구조(전체 상품 구매액의 57%가 중소 협력사 상품, 거래규모 연평균 19% 성장)로 신규 공급사 수용도가 높음 / 비고: 급식보다 식자재유통 부문 수산 카테고리 MD가 1차 타깃. 공개 SRM 포털은 확인되지 않아 고객상담센터 경유 상품 제안으로 시작. PB·급식 전용 상품 공동기획 사례 다수"
(주)현대그린푸드,급식·케이터링 대기업,경기 용인시 수지구 문인로 30(동천동),냉동필렛,,,,031-3104-2223,,https://www.hyundaigreenfood.com | 협력사포털: https://suppl.hgreenfood.com,후보,중,,,"후보이유: 협력사포털(suppl.hgreenfood.com)을 통한 공급사 등록 체계 보유, 급식·식자재유통·케어푸드 등 수산 식재 수요처가 다층적 / 비고: 복날 특식은 정관장 협업 '홍삼삼계탕' 등 운영 확인(장어 사례는 미확인). 단체급식 식재 구매 부문이 타깃"
(주)신세계푸드,급식·케이터링 대기업,서울 성동구 성수일로 56(백영 성수빌딩 4~7층),냉동필렛,,,,,,https://www.shinsegaefood.com | 식자재납품상담: https://www.shinsegaefood.com/cs/counsel_delivery.sf | 협력회사 포탈: https://partners-new.shinsegaefood.com,후보,중,,,후보이유: 홈페이지 '식자재납품상담'에서 신규거래 프로세스 확인 후 양식 접수→바이어 검토로 이어지는 공개 등록 절차 보유. 이마트·스타벅스·급식 등 그룹 수요처에 식자재 공급 / 비고: 타깃은 식품유통(B2B)·구매 부문. 이마트 PB(피코크 등) 제조를 겸해 마트 채널로의 확장 연결고리 가능
(주)동원홈푸드,급식·케이터링 대기업,"서울 서초구 마방로 68(양재동, 동원산업빌딩)",냉동필렛,,,,02-589-6200,,https://www.dwhf.co.kr,후보,중,,,"후보이유: 급식+식자재유통(비즈니스솔루션) 겸영 대형 수요처로 수산 식재 상시 구매 / 비고: 그룹 내 동원산업·동원수산 등 수산 소싱 계열 보유(동원몰서 바다장어 양념구이 판매) → 자체 조달과 경쟁 가능성 있음. 공개 협력사 포털은 미확인, 온라인 문의 경유"
(주)풀무원푸드앤컬처,급식·케이터링 대기업,서울 송파구 송파대로34길 29,냉동필렛,,,,02-3400-7500,,https://www.pulmuonefnc.com,후보,중,,,"장어취급: 전국 주요 골프장·리조트 식음사업장에서 여름 한정 건강 보양식 특선 메뉴 운영 / 후보이유: 위탁급식 매출 3개년 연속 성장(상반기 위탁급식 +8.5%, 컨세션 +21.8%), 계절 특식·보양식 특선을 정례 운영하는 수요처 / 비고: 공개 협력사 등록 포털 미확인. 식자재 구매는 그룹 내 B2B 유통계열(푸드머스) 경유 구조 여부 사전 확인 필요"
본푸드서비스(주),급식·케이터링 대기업,"서울 영등포구 선유로 165, 7층(양평동, 와이피센터)",냉동필렛,,,,1588-9350,,https://bonfs.co.kr | 협력업체 모집(본아이에프): https://www.bonif.co.kr/customer/partner,후보,중,,,"후보이유: 본아이에프 홈페이지에서 농·축·수산물 및 가공식품 협력업체를 공개 모집 중이며, 급식·컨세션과 본죽 등 가맹 2,200여 점 식자재 유통(용인·논산·창녕·장성 4개 물류센터) 수요 겸함 / 비고: 대기업 대비 진입장벽이 상대적으로 낮은 중견 급식사. 계열 순수본(주)이 민물장어 HMR 생산 중이라 그룹 차원 원료 수요와 연결 가능"
(주)은하수산,대형마트·창고형 할인점,부산 사상구,냉동필렛,,,,,,https://www.costco.co.kr/Eunha-Marine/c/Eunha-Marine,후보,상,,,"장어취급: 코스트코 '국산 양념 바다장어 구이 500g' 제조·납품(상품번호 617164), 숙성회·연어회 등 마트 수산 PB 다수 / 후보이유: 대형마트 전 채널을 커버하는 수산 벤더이자 장어구이 완제품 제조사 — 중국산 민물장어 필렛을 원료·상품으로 공급 제안할 1순위 중간 벤더 / 비고: 규모상 자체 수입 역량 보유 가능성 → 경쟁 가능성. 다만 원료 조달처 다변화 수요가 있어 필렛 공급 제안 가치 높음"
홈플러스(주),대형마트·창고형 할인점,서울 강서구,냉동필렛,,,,,,협력사 등록: https://partners.homeplus.co.kr/join/step1 | 파트너 안내: https://corporate.homeplus.co.kr/Customer/Partner.aspx,후보,중,,,"장어취급: 초복 '복날 보양식 대전'에서 국산 손질 민물장어 1kg 39,900원, 자연산 민물장어구이 210g 8,900원 판매 / 후보이유: '조인어스 파트너스' 파트너센터에 상품·회사 정보 등록 시 담당 바이어가 3일 이내 회신하는 공개 입점 절차 운영, 협력업체 진입 문턱 완화 정책 보도 / 비고: 수산팀 바이어 대상 시즌(복날) 기획 제안 유효. 온라인몰(홈플러스몰) 동시 입점 구조"
롯데쇼핑(주) 롯데마트,대형마트·창고형 할인점,서울 송파구,냉동필렛,,,,,,입점상담 포털: https://partner.lottemart.com/epc/main/intro.do | 파트너 안내: https://company.lottemart.com/partners/lottemart_guide.asp,후보,중,,,"장어취급: '통큰데이'서 국산 손질 민물장어(자포니카) 100g당 2,980원 판매, 말복·광복절 '통짜장어(팩)' 1차 4만 마리 완판 후 4,990원 2차 판매, 해수부 수산대전 연계 민물장어 20% 할인 / 후보이유: 장어를 복날 대표 기획상품으로 대량 운영(4만 마리 단위) — 입점상담 포털을 통한 상품제안·입점품평회 절차 공개 / 비고: 현행 기획상품은 국산 자포니카 중심 — 중국산 필렛은 가공·델리용 벤더 경유 또는 가격대 차별화 제안 필요"
코스트코코리아(유),대형마트·창고형 할인점,경기 광명시 일직로 40(벤더 문의처),냉동필렛,,,,,,상품 공급 문의: https://www.costco.co.kr/vendor/Vendor-Inquiries | 입점 절차: https://www.costco.co.kr/vendor/Buying-Process,후보,중,,,"장어취급: '국산 양념 바다장어 구이 500g×2' 등 장어 상품 상시 판매(제조 은하수산), 생물 민물장어(국내산) 판매 이력 / 후보이유: 홈페이지에 상품 입점 절차·공급 문의 채널을 공개 운영, SKU가 적어 단일 대량 공급 구조가 수입사에 유리할 수 있음 / 비고: 제조사 직거래 지향(중간 유통 경유 지양 원칙 명시) — 수입원 직제안 가능하나 대량·연중 공급 조건 충족 필요"
이마트(주),대형마트·창고형 할인점,서울 성동구(성수동),냉동필렛,,,,,,고객·협력 문의: https://store.emart.com/customer/consultIntro.do | 그룹 협력사 포털: https://partner.shinsegae.com,후보,중,,,"장어취급: 초복 행사 '온가족 손질 민물장어(700g·국산)' 반값 27,000원 판매, 강화 갯벌장어 한정 판매(약 0.5t), 양만장 6곳 직계약 '대물장어' 기획 / 후보이유: 복날 장어 대량 특판을 정례 운영하는 최대 마트 채널. 상품매입부문 협력회사 상담실 채널로 입점 제안 가능 / 비고: 신선 장어는 국산 산지(양만장) 직계약 소싱 중심이라 수입 필렛 직납 여지 작음 — 델리/PB 가공용 벤더(신세계푸드 등) 경유 권장. 트레이더스는 별도 대용량 기획 여지"
쿠팡 주식회사(로켓프레시 직매입),온라인 커머스,서울 송파구,냉동필렛,,,,1600-9879,,https://supplier.coupang.com/welcome/join/guide.html,후보,상,,,"장어취급: 로켓프레시·로켓배송에서 민물장어·장어구이 다수 판매(신안 한길수산 등 공급사 사례) / 후보이유: 공급사 입점(서플라이어 허브) 후 쿠팡이 매입해 판매하는 구조라 냉동 필렛 대량 납품에 최적. 입점 신청 후 2영업일 내 승인/반려, 상품공급계약(PSA) 체결 후 견적서 제출하면 담당 BM이 매입 검토 / 비고: 수수료가 아닌 공급가 제안 방식. 로켓배송 콜센터 1600-9879"
주식회사 컬리(마켓컬리),온라인 커머스,서울 강남구(테헤란로 133),냉동필렛,,,,1644-1107,,https://www.kurly.com/m2/introduce/sustainableDistribution/joint_growth.php,후보,상,,,"장어취급: 마켓컬리에서 민물장어·장어구이 상품 상시 판매 / 후보이유: 직매입 중심 플랫폼으로 상품위원회 검증을 통과하면 안정적 대량 공급 가능. 입점 관련 상담은 고객행복센터(1644-1107) 및 입점제안 채널로 접수 / 비고: 상품기획자·MD 등 전문팀의 품질 검증 절차 존재, 대표번호 02-6959-0550"
주식회사 오아시스(오아시스마켓),온라인 커머스,경기 성남시 중원구(갈마치로 218),냉동필렛,,,,1577-0098,,https://m.oasis.co.kr/contactUs/apply,후보,중,,,"장어취급: 신선·수산 카테고리 운영(장어류 판매) / 후보이유: 자사 입점신청 페이지(contactUs/apply)로 공급사 제안 접수 가능, 신선식품 직매입 성격이 강해 수산 공급사 후보 / 비고: 서울사무소 종로 케이트윈타워, 입점상담 안내 페이지 별도 운영"
주식회사 더파이러츠(인어교주해적단),온라인 커머스,서울,냉동필렛,,,,02-2068-3241,mkt@tpirates.com,https://tpirates.com/,후보,중,,,장어취급: 플랫폼 내 장어(민물장어·바다장어) 시세 정보 및 판매 중개·커머스 / 후보이유: 수산물 특화 플랫폼으로 산지·수입 공급사 소싱 수요가 있어 냉동 장어 필렛 공급 제휴 후보 / 비고: 2018년 법인 설립
주식회사 얌테이블,온라인 커머스,경남 거제시,냉동필렛,,,,055-645-8999,,http://yamtable.com,후보,중,,,"장어취급: 수산식품 온라인몰에서 장어류 취급, 거제·통영·포항·양양 4개 FPC 가공·유통 / 후보이유: 연매출 400억원대 수산 전문 온라인 유통사로 원물 매입 규모가 커 냉동 장어 필렛 대량 구매 후보 / 비고: 이마트에브리데이 수산코너 입점 등 오프라인 확장. 경기 광주 HMR 제조센터 보유 — D2C 유통과 수산 HMR 제조(구이·조림) 양면으로 원료 공급 제안 가능"
청암영어조합법인(심가네수산시장),온라인 커머스,전남 화순군(도곡면 지강로 100-15),냉동필렛,,,,,,https://simga.co.kr/,후보,중,,,"장어취급: 심가네 국산 자포니카 손질/초벌 민물장어 1~3kg 세트 판매 / 후보이유: 쿠팡·자사몰에서 판매량이 큰 장어 전문 셀러로 도매 공급 제안 대상 / 비고: 국산 전문(수입산 전환 여지 확인 필요), 공개 연락처가 휴대폰 번호라 기재 제외"
양산도에프엔비 주식회사,홈쇼핑·라이브커머스,"부산 서구(원양로 1, 수산가공선진화단지)",냉동필렛·가바야키,,,,,,https://yangsando.com/,후보,상,,,"장어취급: '정호영셰프의 기운센 민물장어구이'(CJ온스타일·SK스토아 판매) 판매원, 민물장어 홈쇼핑·백화점 납품 / 후보이유: 홈쇼핑 장어 방송 실적을 보유한 최우선 벤더 타깃. 당사 냉동 필렛·양념구이를 원료로 공급하면 즉시 방송 물량 연계 가능 / 비고: 2016년 법인 설립, 부산 노포 '양산도' 기반. ※기존 거래처 '양산도'와 동일·관계사 가능성 높음 — 사내 거래 현황 확인 후 접근"
엔에스쇼핑(NS홈쇼핑),홈쇼핑·라이브커머스,경기 성남시(판교),냉동필렛·가바야키,,,,1688-7700,,http://pr.nsmall.com/business/procedure.do,후보,상,,,"장어취급: 2026년 4월 보양식 릴레이 특집전에서 '수산천하 국내산 손질 민물장어'(1.4kg, 39,900원) 방송 편성 / 후보이유: 식품 편성 비중이 가장 높은 홈쇼핑으로 장어 방송 실적 보유. 온라인 입점제안 시스템(사업자번호로 접수, 영업일 3일 내 MD 검토) 운영 / 비고: 입점 확정 시 전자계약시스템(NICE)에서 거래기본계약 체결, TV 입점은 신용평가 필요"
